["o0","LEFT"]
["o1","LEFT"]
("o0","mode 1",1,"o0",1,"transmission")
(200, 3)
2.0337679311557791e+14 9.9916775408593417e-01 3.7614129325642063e+00
2.0369064619137353e+14 9.9922188222093722e-01 3.8046337891523874e+00
2.0400449926716919e+14 9.9927465096296719e-01 3.8478529555264407e+00
2.0431835234296481e+14 9.9932605120727780e-01 3.8910704773570632e+00
2.0463220541876047e+14 9.9937607309318921e-01 3.9342864045250630e+00
2.0494605849455612e+14 9.9942470605526068e-01 3.9775007908543447e+00
2.0525991157035175e+14 9.9947193888140007e-01 4.0207136938467860e+00
2.0557376464614741e+14 9.9951775977728385e-01 4.0639251744197180e+00
2.0588761772194306e+14 9.9956215643643886e-01 4.1071352966467511e+00
2.0620147079773869e+14 9.9960511611532377e-01 4.1503441275028212e+00
2.0651532387353434e+14 9.9964662571276675e-01 4.1935517366136761e+00
2.0682917694933000e+14 9.9968667185310045e-01 4.2367581960105500e+00
2.0714303002512562e+14 9.9972524097240600e-01 4.2799635798902553e+00
2.0745688310092128e+14 9.9976231940726012e-01 4.3231679643809873e+00
2.0777073617671694e+14 9.9979789348549242e-01 4.3663714273141725e+00
2.0808458925251256e+14 9.9983194961842148e-01 4.4095740480023222e+00
2.0839844232830822e+14 9.9986447439418658e-01 4.4527759070233222e+00
2.0871229540410384e+14 9.9989545467175545e-01 4.4959770860109103e+00
2.0902614847989950e+14 9.9992487767533589e-01 4.5391776674516482e+00
2.0934000155569516e+14 9.9995273108888916e-01 4.5823777344883307e+00
2.0965385463149078e+14 9.9997900315055621e-01 4.6255773707298689e+00
2.0996770770728644e+14 1.0000036827468362e+00 4.6687766600677723e+00
2.1028156078308209e+14 1.0000267595064021e+00 4.7119756864991418e+00
2.1059541385887772e+14 1.0000482238934512e+00 4.7551745339564011e+00
2.1090926693467338e+14 1.0000680673005919e+00 4.7983732861438559e+00
2.1122312001046900e+14 1.0000862821411851e+00 4.8415720263810691e+00
2.1153697308626466e+14 1.0001028619411572e+00 4.8847708374534431e+00
2.1185082616206031e+14 1.0001178014302698e+00 4.9279698014699953e+00
2.1216467923785594e+14 1.0001310966328345e+00 4.9711689997288255e+00
2.1247853231365159e+14 1.0001427449578204e+00 5.0143685125902735e+00
2.1279238538944725e+14 1.0001527452883290e+00 5.0575684193582955e+00
2.1310623846524288e+14 1.0001610980703304e+00 5.1007687981703551e+00
2.1342009154103853e+14 1.0001678054005465e+00 5.1439697258960777e+00
2.1373394461683419e+14 1.0001728711132873e+00 5.1871712780452599e+00
2.1404779769262981e+14 1.0001763008660380e+00 5.2303735286853819e+00
2.1436165076842547e+14 1.0001781022234939e+00 5.2735765503692669e+00
2.1467550384422112e+14 1.0001782847397067e+00 5.3167804140731043e+00
2.1498935692001675e+14 1.0001768600379224e+00 5.3599851891451875e+00
2.1530320999581241e+14 1.0001738418876438e+00 5.4031909432658995e+00
2.1561706307160806e+14 1.0001692462783893e+00 5.4463977424189922e+00
2.1593091614740369e+14 1.0001630914895301e+00 5.4896056508745783e+00
2.1624476922319934e+14 1.0001553981555682e+00 5.5328147311840006e+00
2.1655862229899497e+14 1.0001461893261463e+00 5.5760250441865669e+00
2.1687247537479062e+14 1.0001354905200470e+00 5.6192366490284424e+00
2.1718632845058628e+14 1.0001233297723744e+00 5.6624496031933402e+00
2.1750018152638191e+14 1.0001097376741490e+00 5.7056639625451258e+00
2.1781403460217756e+14 1.0000947474034416e+00 5.7488797813819463e+00
2.1812788767797322e+14 1.0000783947472587e+00 5.7920971125015681e+00
2.1844174075376884e+14 1.0000607181133370e+00 5.8353160072774886e+00
2.1875559382956450e+14 1.0000417585310473e+00 5.8785365157451928e+00
2.1906944690536012e+14 1.0000215596406441e+00 5.9217586866979515e+00
2.1938329998115578e+14 1.0000001676701686e+00 5.9649825677912549e+00
2.1969715305695144e+14 9.9997763139930207e-01 6.0082082056551052e+00
2.2001100613274706e+14 9.9995400210963947e-01 6.0514356460130792e+00
2.2032485920854272e+14 9.9992933352085633e-01 6.0946649338070964e+00
2.2063871228433838e+14 9.9990368171239707e-01 6.1378961133267413e+00
2.2095256536013400e+14 9.9987710503039429e-01 6.1811292283417334e+00
2.2126641843592966e+14 9.9984966397965946e-01 6.2243643222365055e+00
2.2158027151172531e+14 9.9982142110071059e-01 6.2676014381451690e+00
2.2189412458752094e+14 9.9979244083194774e-01 6.3108406190856909e+00
2.2220797766331659e+14 9.9976278935722340e-01 6.3540819080918336e+00
2.2252183073911225e+14 9.9973253443919385e-01 6.3973253483411483e+00
2.2283568381490788e+14 9.9970174523901090e-01 6.4405709832779836e+00
2.2314953689070353e+14 9.9967049212301640e-01 6.4838188567297532e+00
2.2346338996649919e+14 9.9963884645732282e-01 6.5270690130151880e+00
2.2377724304229481e+14 9.9960688039121626e-01 6.5703214970433930e+00
2.2409109611809047e+14 9.9957466663053729e-01 6.6135763544022046e+00
2.2440494919388609e+14 9.9954227820227393e-01 6.6568336314349184e+00
2.2471880226968175e+14 9.9950978821176173e-01 6.7000933753041902e+00
2.2503265534547741e+14 9.9947726959394401e-01 6.7433556340423078e+00
2.2534650842127303e+14 9.9944479486031412e-01 6.7866204565868271e+00
2.2566036149706869e+14 9.9941243584317874e-01 6.8298878928012448e+00
2.2597421457286431e+14 9.9938026343901176e-01 6.8731579934797962e+00
2.2628806764865997e+14 9.9934834735264544e-01 6.9164308103364247e+00
2.2660192072445562e+14 9.9931675584418245e-01 6.9597063959775243e+00
2.2691577380025125e+14 9.9928555548042064e-01 7.0029848038584745e+00
2.2722962687604691e+14 9.9925481089266888e-01 7.0462660882242956e+00
2.2754347995184256e+14 9.9922458454275009e-01 7.0895503040346508e+00
2.2785733302763819e+14 9.9919493649900748e-01 7.1328375068737007e+00
2.2817118610343384e+14 9.9916592422399630e-01 7.1761277528457628e+00
2.2848503917922950e+14 9.9913760237553817e-01 7.2194210984572793e+00
2.2879889225502512e+14 9.9911002262270077e-01 7.2627176004865106e+00
2.2911274533082078e+14 9.9908323347810235e-01 7.3060173158419035e+00
2.2942659840661644e+14 9.9905728014788875e-01 7.3493203014104864e+00
2.2974045148241206e+14 9.9903220440057350e-01 7.3926266138979067e+00
2.3005430455820772e+14 9.9900804445569946e-01 7.4359363096614519e+00
2.3036815763400338e+14 9.9898483489323731e-01 7.4792494445378805e+00
2.3068201070979900e+14 9.9896260658435065e-01 7.5225660736677469e+00
2.3099586378559466e+14 9.9894138664407039e-01 7.5658862513180019e+00
2.3130971686139031e+14 9.9892119840611071e-01 7.6092100307047383e+00
2.3162356993718594e+14 9.9890206142003013e-01 7.6525374638179393e+00
2.3193742301298159e+14 9.9888399147055096e-01 7.6958686012500905e+00
2.3225127608877722e+14 9.9886700061885525e-01 7.7392034920304376e+00
2.3256512916457288e+14 9.9885109726532662e-01 7.7825421834668731e+00
2.3287898224036850e+14 9.9883628623311171e-01 7.8258847209969584e+00
2.3319283531616416e+14 9.9882256887164245e-01 7.8692311480499475e+00
2.3350668839195981e+14 9.9880994317915617e-01 7.9125815059213354e+00
2.3382054146775544e+14 9.9879840394298725e-01 7.9559358336612851e+00
2.3413439454355109e+14 9.9878794289640149e-01 7.9992941679785297e+00
2.3444824761934675e+14 9.9877854889042361e-01 8.0426565431606463e+00
2.3476210069514238e+14 9.9877020807920114e-01 8.0860229910119479e+00
2.3507595377093803e+14 9.9876290411713964e-01 8.1293935408099394e+00
2.3538980684673369e+14 9.9875661836614582e-01 8.1727682192806892e+00
2.3570365992252931e+14 9.9875133011108641e-01 8.2161470505941789e+00
2.3601751299832497e+14 9.9874701678164968e-01 8.2595300563795071e+00
2.3633136607412062e+14 9.9874365417870326e-01 8.3029172557603577e+00
2.3664521914991625e+14 9.9874121670322846e-01 8.3463086654107510e+00
2.3695907222571191e+14 9.9873967758596627e-01 8.3897042996306279e+00
2.3727292530150756e+14 9.9873900911588243e-01 8.4331041704411511e+00
2.3758677837730319e+14 9.9873918286570473e-01 8.4765082876989855e+00
2.3790063145309884e+14 9.9874016991263748e-01 8.5199166592288869e+00
2.3821448452889450e+14 9.9874194105277003e-01 8.5633292909737193e+00
2.3852833760469012e+14 9.9874446700744590e-01 8.6067461871608018e+00
2.3884219068048578e+14 9.9874771862022793e-01 8.6501673504835175e+00
2.3915604375628144e+14 9.9875166704302587e-01 8.6935927822967276e+00
2.3946989683207706e+14 9.9875628391028348e-01 8.7370224828247718e+00
2.3978374990787272e+14 9.9876154150005059e-01 8.7804564513804078e+00
2.4009760298366834e+14 9.9876741288108251e-01 8.8238946865931780e+00
2.4041145605946400e+14 9.9877387204516732e-01 8.8673371866456332e+00
2.4072530913525962e+14 9.9878089402408421e-01 8.9107839495155368e+00
2.4103916221105528e+14 9.9878845499073721e-01 8.9542349732227162e+00
2.4135301528685094e+14 9.9879653234415988e-01 8.9976902560783820e+00
